
1,2352,training,1,1,e37,37,2,6,Beta,Alpha,5.27405972296,0,
1,2352,training,1,2,e07,7,7,1,Beta,Beta,2.43840782426,1,
1,2352,training,1,3,e09,9,2,2,Alpha,Beta,0.754000766727,0,
1,2352,training,1,4,e13,13,6,2,Beta,Beta,0.457582834351,1,
1,2352,training,1,5,e41,41,6,6,Alpha,Beta,1.64913462667,0,
1,2352,training,1,6,e01,1,1,1,Alpha,Beta,0.624374202569,0,
1,2352,training,1,7,e43,43,1,7,Beta,Alpha,0.185062899254,0,
1,2352,training,1,8,e49,49,7,7,Alpha,Beta,0.0330119124264,0,
1,2352,training,2,1,e01,1,1,1,Alpha,Beta,0.000144675839692,0,
1,2352,training,2,2,e43,43,1,7,Beta,Beta,0.235786510108,1,
1,2352,training,2,3,e13,13,6,2,Beta,Beta,1.54131272959,1,
1,2352,training,2,4,e09,9,2,2,Alpha,Alpha,0.0937433165964,1,
1,2352,training,2,5,e37,37,2,6,Beta,Alpha,0.138896411459,0,
1,2352,training,2,6,e41,41,6,6,Alpha,Alpha,0.572417701944,1,
1,2352,training,2,7,e07,7,7,1,Beta,Beta,0.297989833634,1,
1,2352,training,2,8,e49,49,7,7,Alpha,Beta,1.09755355486,0,
1,2352,training,3,1,e13,13,6,2,Beta,Alpha,9.76644223556e-05,0,
1,2352,training,3,2,e43,43,1,7,Beta,Beta,0.679938991147,1,
1,2352,training,3,3,e01,1,1,1,Alpha,Beta,1.41623766033,0,
1,2352,training,3,4,e07,7,7,1,Beta,Alpha,0.035422734858,0,
1,2352,training,3,5,e41,41,6,6,Alpha,Beta,0.403382037592,0,
1,2352,training,3,6,e09,9,2,2,Alpha,Alpha,0.718150956789,1,
1,2352,training,3,7,e37,37,2,6,Beta,Alpha,1.95053112914,0,
1,2352,training,3,8,e49,49,7,7,Alpha,Beta,1.12813544308,0,
1,2352,training,4,1,e37,37,2,6,Beta,Alpha,0.834869589831,0,
1,2352,training,4,2,e41,41,6,6,Alpha,Beta,0.374436277372,0,
1,2352,training,4,3,e43,43,1,7,Beta,Alpha,0.344399985974,0,
1,2352,training,4,4,e07,7,7,1,Beta,Beta,0.0659986638348,1,
1,2352,training,4,5,e13,13,6,2,Beta,Beta,0.388347669563,1,
1,2352,training,4,6,e01,1,1,1,Alpha,Alpha,0.150712487113,1,
1,2352,training,4,7,e49,49,7,7,Alpha,Beta,0.0743140478735,0,
1,2352,training,4,8,e09,9,2,2,Alpha,Alpha,0.335497621971,1,
1,2352,training,5,1,e41,41,6,6,Alpha,Beta,0.0346738636144,0,
1,2352,training,5,2,e07,7,7,1,Beta,Beta,0.000141365162563,1,
1,2352,training,5,3,e37,37,2,6,Beta,Alpha,9.1374211479e-05,0,
1,2352,training,5,4,e09,9,2,2,Alpha,Beta,0.000161891279276,0,
1,2352,training,5,5,e01,1,1,1,Alpha,Alpha,0.293315844203,1,
1,2352,training,5,6,e13,13,6,2,Beta,Beta,0.000138716655783,1,
1,2352,training,5,7,e49,49,7,7,Alpha,Alpha,0.180856374966,1,
1,2352,training,5,8,e43,43,1,7,Beta,Alpha,0.39964893763,0,
1,2352,training,6,1,e13,13,6,2,Beta,Beta,0.542012603022,1,
1,2352,training,6,2,e43,43,1,7,Beta,Beta,0.32598444121,1,
1,2352,training,6,3,e07,7,7,1,Beta,Beta,0.000141034135595,1,
1,2352,training,6,4,e41,41,6,6,Alpha,Alpha,0.0619417813723,1,
1,2352,training,6,5,e37,37,2,6,Beta,Beta,0.159519504057,1,
1,2352,training,6,6,e49,49,7,7,Alpha,Alpha,0.346725393378,1,
1,2352,training,6,7,e09,9,2,2,Alpha,Alpha,2.06825421628,1,
1,2352,training,6,8,e01,1,1,1,Alpha,Alpha,0.328662102809,1,
1,2352,training,7,1,e01,1,1,1,Alpha,Alpha,0.385396547499,1,
1,2352,training,7,2,e07,7,7,1,Beta,Beta,0.282981288794,1,
1,2352,training,7,3,e43,43,1,7,Beta,Beta,0.370566778292,1,
1,2352,training,7,4,e09,9,2,2,Alpha,Alpha,0.0444800377591,1,
1,2352,training,7,5,e13,13,6,2,Beta,Beta,0.49167766358,1,
1,2352,training,7,6,e41,41,6,6,Alpha,Alpha,0.797618046519,1,
1,2352,training,7,7,e49,49,7,7,Alpha,Alpha,0.457580185845,1,
1,2352,training,7,8,e37,37,2,6,Beta,Alpha,2.68074513681,0,
1,2352,training,8,1,e37,37,2,6,Beta,Beta,0.000140371965244,1,
1,2352,training,8,2,e09,9,2,2,Alpha,Alpha,0.000110907130875,1,
1,2352,training,8,3,e43,43,1,7,Beta,Beta,0.260734317591,1,
1,2352,training,8,4,e07,7,7,1,Beta,Beta,0.107834477618,1,
1,2352,training,8,5,e41,41,6,6,Alpha,Alpha,0.143852469046,1,
1,2352,training,8,6,e49,49,7,7,Alpha,Alpha,0.875399017299,1,
1,2352,training,8,7,e01,1,1,1,Alpha,Alpha,2.47451421036,1,
1,2352,training,8,8,e13,13,6,2,Beta,Beta,1.06573844596,1,
1,2352,training,9,1,e37,37,2,6,Beta,Alpha,0.138111453969,0,
1,2352,training,9,2,e41,41,6,6,Alpha,Alpha,0.978071183141,1,
1,2352,training,9,3,e07,7,7,1,Beta,Beta,0.395644694741,1,
1,2352,training,9,4,e43,43,1,7,Beta,Beta,1.79799479962,1,
1,2352,training,9,5,e01,1,1,1,Alpha,Alpha,9.53470007516e-05,1,
1,2352,training,9,6,e13,13,6,2,Beta,Beta,0.342327512975,1,
1,2352,training,9,7,e09,9,2,2,Alpha,Beta,0.145049934683,0,
