16 Feb 2016 12:07:52 PM,Tue, 16 Feb 2016 12:16:01 PM
klab1,4737,1
3,1,0,Size,Shading
1,4737,training,1,1,e127,71,6,11,Alpha,Alpha,2.32966049959,1
1,4737,training,1,2,e66,78,7,6,Beta,Alpha,1.60545012243,0
1,4737,training,1,3,e138,84,7,12,Alpha,Alpha,1.7990661322,1
1,4737,training,1,4,e66,78,7,6,Beta,Beta,0.876506841787,1
1,4737,training,1,5,e79,67,6,7,Beta,Beta,0.733568588034,1
1,4737,training,1,6,e72,6,1,6,Alpha,Beta,2.33643938401,0
1,4737,training,1,7,e83,19,2,7,Alpha,Alpha,0.552731020382,1
1,4737,training,1,8,e79,67,6,7,Beta,Beta,1.10630824259,1
1,4737,training,2,1,e72,6,1,6,Alpha,Alpha,0.431923791514,1
1,4737,training,2,2,e79,67,6,7,Beta,Beta,1.84771048774,1
1,4737,training,2,3,e83,19,2,7,Alpha,Alpha,1.90615899854,1
1,4737,training,2,4,e66,78,7,6,Beta,Beta,0.584157022747,1
1,4737,training,2,5,e79,67,6,7,Beta,Beta,2.25500371455,1
1,4737,training,2,6,e138,84,7,12,Alpha,Alpha,0.376836251339,1
1,4737,training,2,7,e127,71,6,11,Alpha,Alpha,0.269345776076,1
1,4737,training,2,8,e66,78,7,6,Beta,Beta,0.284567476981,1
1,4737,training,3,1,e79,67,6,7,Beta,Beta,0.372857182585,1
1,4737,training,3,2,e138,84,7,12,Alpha,Alpha,0.258587160774,1
1,4737,training,3,3,e66,78,7,6,Beta,Beta,0.391710003059,1
1,4737,training,3,4,e83,19,2,7,Alpha,Alpha,0.784109945322,1
1,4737,training,3,5,e79,67,6,7,Beta,Beta,0.431644372758,1
1,4737,training,3,6,e127,71,6,11,Alpha,Alpha,0.289490411699,1
1,4737,training,3,7,e66,78,7,6,Beta,Beta,0.370492717235,1
1,4737,training,3,8,e72,6,1,6,Alpha,Alpha,0.590938555683,1
1,4737,training,4,1,e79,67,6,7,Beta,Beta,0.47472617624,1
1,4737,training,4,2,e72,6,1,6,Alpha,Alpha,0.482516463857,1
1,4737,training,4,3,e66,78,7,6,Beta,Beta,0.274228983008,1
1,4737,training,4,4,e83,19,2,7,Alpha,Alpha,0.234110872303,1
1,4737,training,4,5,e138,84,7,12,Alpha,Alpha,0.434603430626,1
1,4737,training,4,6,e127,71,6,11,Alpha,Alpha,0.228371200535,1
1,4737,training,4,7,e79,67,6,7,Beta,Beta,0.701611888672,1
1,4737,training,4,8,e66,78,7,6,Beta,Beta,0.211976867836,1
1,4737,training,5,1,e127,71,6,11,Alpha,Alpha,0.497610704784,1
1,4737,training,5,2,e79,67,6,7,Beta,Beta,0.429175290907,1
1,4737,training,5,3,e79,67,6,7,Beta,Beta,0.507555231554,1
1,4737,training,5,4,e66,78,7,6,Beta,Beta,0.208011041675,1
1,4737,training,5,5,e83,19,2,7,Alpha,Alpha,0.617716076113,1
1,4737,training,5,6,e138,84,7,12,Alpha,Alpha,0.825958532138,1
1,4737,training,5,7,e66,78,7,6,Beta,Beta,0.269971488693,1
1,4737,training,5,8,e72,6,1,6,Alpha,Alpha,0.86235083872,1
1,4737,training,6,1,e79,67,6,7,Beta,Beta,0.468445875528,1
1,4737,training,6,2,e66,78,7,6,Beta,Beta,0.288124438018,1
1,4737,training,6,3,e66,78,7,6,Beta,Beta,0.612607413999,1
1,4737,training,6,4,e127,71,6,11,Alpha,Alpha,0.28222055807,1
1,4737,training,6,5,e83,19,2,7,Alpha,Alpha,1.34342187332,1
1,4737,training,6,6,e79,67,6,7,Beta,Beta,0.37471213909,1
1,4737,training,6,7,e72,6,1,6,Alpha,Alpha,0.610387292935,1
1,4737,training,6,8,e138,84,7,12,Alpha,Alpha,0.417191404496,1
1,4737,training,7,1,e79,67,6,7,Beta,Beta,3.54797163171,1
1,4737,training,7,2,e66,78,7,6,Beta,Beta,0.982019866541,1
1,4737,training,7,3,e127,71,6,11,Alpha,Alpha,0.448488622625,1
1,4737,training,7,4,e72,6,1,6,Alpha,Alpha,1.72615372799,1
