16 Feb 2016 5:21:20 PM,Tue, 16 Feb 2016 5:30:53 PM
klab1,4741,1
2,1,0,Shading,Size
1,4741,training,1,1,e79,67,6,7,Beta,Alpha,4.89713781172,0
1,4741,training,1,2,e72,84,7,12,Alpha,Beta,2.29137913682,0
1,4741,training,1,3,e127,19,2,7,Alpha,Alpha,2.37800424822,1
1,4741,training,1,4,e83,71,6,11,Alpha,Alpha,2.24518068859,1
1,4741,training,1,5,e66,78,7,6,Beta,Alpha,2.87622709197,0
1,4741,training,1,6,e79,67,6,7,Beta,Beta,1.65065670029,1
1,4741,training,1,7,e66,78,7,6,Beta,Beta,1.61554462159,1
1,4741,training,1,8,e138,6,1,6,Alpha,Beta,2.29329401607,0
1,4741,training,2,1,e138,6,1,6,Alpha,Alpha,1.655186661,1
1,4741,training,2,2,e72,84,7,12,Alpha,Alpha,1.36558004553,1
1,4741,training,2,3,e127,19,2,7,Alpha,Beta,2.53032554271,0
1,4741,training,2,4,e83,71,6,11,Alpha,Beta,1.85659030986,0
1,4741,training,2,5,e79,67,6,7,Beta,Alpha,0.923762049108,0
1,4741,training,2,6,e66,78,7,6,Beta,Alpha,1.84571847037,0
1,4741,training,2,7,e79,67,6,7,Beta,Alpha,0.97007802537,0
1,4741,training,2,8,e66,78,7,6,Beta,Beta,1.66669248973,1
1,4741,training,3,1,e138,6,1,6,Alpha,Beta,2.04976236163,0
1,4741,training,3,2,e79,67,6,7,Beta,Beta,4.32816474848,1
1,4741,training,3,3,e127,19,2,7,Alpha,Alpha,2.0378370737,1
1,4741,training,3,4,e66,78,7,6,Beta,Beta,1.93738801731,1
1,4741,training,3,5,e79,67,6,7,Beta,Beta,1.40104139768,1
1,4741,training,3,6,e72,84,7,12,Alpha,Alpha,0.913697345786,1
1,4741,training,3,7,e83,71,6,11,Alpha,Alpha,0.539776782818,1
1,4741,training,3,8,e66,78,7,6,Beta,Beta,3.52710792318,1
1,4741,training,4,1,e66,78,7,6,Beta,Beta,1.95752603163,1
1,4741,training,4,2,e72,84,7,12,Alpha,Alpha,0.605286576378,1
