16 Feb 2016 12:45:04 PM,Tue, 16 Feb 2016 12:53:08 PM
klab2,4738,1
3,1,0,Size,Shading
1,4738,training,1,1,e138,84,7,12,Alpha,Alpha,2.17473537984,1
1,4738,training,1,2,e72,6,1,6,Alpha,Beta,2.37783937792,0
1,4738,training,1,3,e127,71,6,11,Alpha,Alpha,1.06054812425,1
1,4738,training,1,4,e79,67,6,7,Beta,Alpha,0.589335208486,0
1,4738,training,1,5,e83,19,2,7,Alpha,Alpha,0.969777749528,1
1,4738,training,1,6,e79,67,6,7,Beta,Beta,0.822565117151,1
1,4738,training,1,7,e66,78,7,6,Beta,Alpha,1.38627160033,0
1,4738,training,1,8,e66,78,7,6,Beta,Beta,0.70695097194,1
1,4738,training,2,1,e72,6,1,6,Alpha,Alpha,0.576575968133,1
1,4738,training,2,2,e66,78,7,6,Beta,Beta,0.48486834874,1
1,4738,training,2,3,e79,67,6,7,Beta,Beta,0.665433781065,1
1,4738,training,2,4,e83,19,2,7,Alpha,Alpha,0.394378385965,1
1,4738,training,2,5,e127,71,6,11,Alpha,Beta,2.10138630106,0
1,4738,training,2,6,e66,78,7,6,Beta,Beta,0.52584623493,1
1,4738,training,2,7,e138,84,7,12,Alpha,Alpha,0.47482251612,1
1,4738,training,2,8,e79,67,6,7,Beta,Beta,0.517922197105,1
1,4738,training,3,1,e83,19,2,7,Alpha,Alpha,0.527532348349,1
1,4738,training,3,2,e79,67,6,7,Beta,Beta,0.346557388772,1
1,4738,training,3,3,e66,78,7,6,Beta,Beta,0.229783854364,1
1,4738,training,3,4,e138,84,7,12,Alpha,Alpha,0.36823386158,1
1,4738,training,3,5,e72,6,1,6,Alpha,Alpha,0.367727663384,1
1,4738,training,3,6,e66,78,7,6,Beta,Beta,0.435567491548,1
1,4738,training,3,7,e127,71,6,11,Alpha,Alpha,0.356121521998,1
1,4738,training,3,8,e79,67,6,7,Beta,Beta,0.465608318469,1
1,4738,training,4,1,e66,78,7,6,Beta,Beta,0.206786101633,1
1,4738,training,4,2,e79,67,6,7,Beta,Beta,0.241252934891,1
1,4738,training,4,3,e127,71,6,11,Alpha,Alpha,0.464940891678,1
1,4738,training,4,4,e66,78,7,6,Beta,Beta,0.294749377268,1
1,4738,training,4,5,e72,6,1,6,Alpha,Alpha,0.262588410875,1
1,4738,training,4,6,e83,19,2,7,Alpha,Alpha,0.478774106488,1
1,4738,training,4,7,e79,67,6,7,Beta,Beta,0.359388801267,1
1,4738,training,4,8,e138,84,7,12,Alpha,Alpha,0.397676785335,1
1,4738,training,5,1,e72,6,1,6,Alpha,Alpha,0.66476271256,1
1,4738,training,5,2,e127,71,6,11,Alpha,Alpha,0.588287388149,1
1,4738,training,5,3,e83,19,2,7,Alpha,Alpha,0.327387739211,1
1,4738,training,5,4,e138,84,7,12,Alpha,Alpha,0.305067676281,1
1,4738,training,5,5,e66,78,7,6,Beta,Beta,0.295371779235,1
1,4738,training,5,6,e66,78,7,6,Beta,Beta,0.395910885281,1
1,4738,training,5,7,e79,67,6,7,Beta,Beta,0.374247986132,1
1,4738,training,5,8,e79,67,6,7,Beta,Beta,0.329265539192,1
1,4738,training,6,1,e127,71,6,11,Alpha,Alpha,0.439711761675,1
1,4738,training,6,2,e72,6,1,6,Alpha,Alpha,0.335527300273,1
1,4738,training,6,3,e79,67,6,7,Beta,Beta,0.466522057528,1
1,4738,training,6,4,e79,67,6,7,Beta,Beta,0.505632737813,1
1,4738,training,6,5,e138,84,7,12,Alpha,Alpha,0.342700151892,1
1,4738,training,6,6,e66,78,7,6,Beta,Beta,0.464388013334,1
1,4738,training,6,7,e66,78,7,6,Beta,Beta,0.384130603768,1
1,4738,training,6,8,e83,19,2,7,Alpha,Alpha,0.681862544512,1
1,4738,training,7,1,e79,67,6,7,Beta,Beta,0.36346752055,1
1,4738,training,7,2,e66,78,7,6,Beta,Beta,0.323930759767,1
1,4738,training,7,3,e66,78,7,6,Beta,Beta,0.392341343779,1
1,4738,training,7,4,e83,19,2,7,Alpha,Alpha,0.37003816516,1
1,4738,training,7,5,e138,84,7,12,Alpha,Alpha,0.22114107469,1
1,4738,training,7,6,e79,67,6,7,Beta,Beta,0.543578400797,1
1,4738,training,7,7,e127,71,6,11,Alpha,Alpha,0.778661279579,1
1,4738,training,7,8,e72,6,1,6,Alpha,Alpha,0.354778060728,1
1,4738,training,8,1,e72,6,1,6,Alpha,Alpha,0.265930841872,1
1,4738,training,8,2,e127,71,6,11,Alpha,Alpha,0.874959444553,1
1,4738,training,8,3,e79,67,6,7,Beta,Beta,0.244678794235,1
1,4738,training,8,4,e138,84,7,12,Alpha,Alpha,0.382627238163,1
1,4738,training,8,5,e79,67,6,7,Beta,Beta,1.44762950927,1
1,4738,training,8,6,e66,78,7,6,Beta,Beta,0.256457751486,1
1,4738,training,8,7,e83,19,2,7,Alpha,Alpha,0.342907067441,1
1,4738,training,8,8,e66,78,7,6,Beta,Beta,0.315878599835,1
1,4738,training,9,1,e79,67,6,7,Beta,Beta,0.239723415159,1
1,4738,training,9,2,e79,67,6,7,Beta,Beta,0.228872432757,1
1,4738,training,9,3,e72,6,1,6,Alpha,Alpha,0.33394878294,1
