14 Sep 2016 5:02:52 PM,Wed, 14 Sep 2016 5:16:29 PM
klab2,5075,1
1,Darker,Lighter,Smaller,Bigger
1,5075,similarity1,0,0,42,7,12.982
1,5075,similarity1,1,12,36,6,7.051
1,5075,similarity1,2,42,6,6,5.676
1,5075,similarity1,3,36,5,6,5.837
1,5075,similarity1,4,8,48,6,4.658
1,5075,similarity1,5,42,48,7,6.287
1,5075,similarity1,6,12,0,6,9.36
1,5075,similarity1,7,8,42,6,7.366
1,5075,similarity1,8,8,40,5,7.782
1,5075,similarity1,9,36,13,5,9.712
1,5075,similarity1,10,8,36,8,4.089
1,5075,similarity1,11,42,12,7,5.183
1,5075,similarity1,12,13,42,5,4.671
1,5075,similarity1,13,5,48,7,9.334
1,5075,similarity1,14,0,13,6,2.615
1,5075,similarity1,15,0,6,6,3.536
1,5075,similarity1,16,48,6,7,3.163
1,5075,similarity1,17,0,5,7,2.313
1,5075,similarity1,18,48,36,7,2.515
1,5075,similarity1,19,36,0,7,4.317
1,5075,similarity1,20,0,48,5,2.867
1,5075,similarity1,21,13,48,5,3.983
1,5075,similarity1,22,40,36,5,7.303
1,5075,similarity1,23,0,40,4,3.12
1,5075,similarity1,24,42,40,4,2.313
1,5075,similarity1,25,5,42,4,2.28
1,5075,similarity1,26,12,48,5,2.751
1,5075,similarity1,27,6,36,4,4.092
1,5075,training,1,0,0,Alpha,Alpha,1,3.53897017986
1,5075,training,1,1,42,Beta,Alpha,0,1.43811027473
1,5075,training,1,2,36,Beta,Beta,1,1.28069375083
1,5075,training,1,3,36,Beta,Beta,1,1.64821328199
1,5075,training,1,4,8,Alpha,Alpha,1,1.27806841512
1,5075,training,1,5,40,Alpha,Beta,0,0.965361458715
1,5075,training,1,6,48,Alpha,Alpha,1,1.32245479827
1,5075,training,1,7,42,Beta,Beta,1,1.1926893834
1,5075,training,2,0,36,Beta,Alpha,0,1.09858880751
1,5075,training,2,1,40,Alpha,Beta,0,4.02630169317
1,5075,training,2,2,8,Alpha,Alpha,1,6.99812154402
1,5075,training,2,3,0,Alpha,Alpha,1,1.11939219339
1,5075,training,2,4,42,Beta,Beta,1,1.12154311477
1,5075,training,2,5,42,Beta,Beta,1,1.04370406084
1,5075,training,2,6,48,Alpha,Beta,0,1.91644810932
1,5075,training,2,7,36,Beta,Beta,1,1.52333370643
1,5075,training,3,0,48,Alpha,Alpha,1,1.20262593171
1,5075,training,3,1,36,Beta,Beta,1,1.14291626145
1,5075,training,3,2,8,Alpha,Alpha,1,0.804381695343
1,5075,training,3,3,40,Alpha,Alpha,1,1.17468547286
1,5075,training,3,4,36,Beta,Beta,1,0.885980971856
1,5075,training,3,5,42,Beta,Beta,1,1.16320252558
1,5075,training,3,6,0,Alpha,Alpha,1,0.682580019813
1,5075,training,3,7,42,Beta,Beta,1,0.734646751545
1,5075,training,4,0,8,Alpha,Alpha,1,0.613008290529
1,5075,training,4,1,0,Alpha,Alpha,1,0.556725792587
1,5075,training,4,2,36,Beta,Beta,1,0.702327643288
1,5075,training,4,3,42,Beta,Beta,1,0.56335931737
1,5075,training,4,4,40,Alpha,Alpha,1,1.16339487373
1,5075,training,4,5,42,Beta,Beta,1,4.8249907468
1,5075,training,4,6,48,Alpha,Alpha,1,0.538464314304
1,5075,training,4,7,36,Beta,Beta,1,1.01883421838
1,5075,training,5,0,48,Alpha,Alpha,1,1.39705869695
1,5075,training,5,1,36,Beta,Beta,1,1.79425015044
1,5075,training,5,2,8,Alpha,Alpha,1,0.443292416167
1,5075,training,5,3,36,Beta,Beta,1,1.99464471219
1,5075,training,5,4,42,Beta,Beta,1,2.6686442208
1,5075,training,5,5,0,Alpha,Alpha,1,0.433376062661
1,5075,training,5,6,40,Alpha,Alpha,1,0.499216372147
1,5075,training,5,7,42,Beta,Beta,1,0.649228654336
1,5075,training,6,0,48,Alpha,Alpha,1,0.485106764594
1,5075,training,6,1,36,Beta,Beta,1,0.71670971578
1,5075,training,6,2,40,Alpha,Alpha,1,1.01743547409
1,5075,training,6,3,42,Beta,Beta,1,0.526410612976
1,5075,training,6,4,36,Beta,Beta,1,0.605069049867
1,5075,training,6,5,42,Beta,Beta,1,0.391204165062
1,5075,training,6,6,0,Alpha,Alpha,1,0.410063875373
1,5075,training,6,7,8,Alpha,Alpha,1,0.337190778228
1,5075,training,7,0,42,Beta,Beta,1,0.641795279225
1,5075,training,7,1,8,Alpha,Alpha,1,0.300060651032
1,5075,training,7,2,0,Alpha,Alpha,1,0.396391603397
1,5075,training,7,3,36,Beta,Beta,1,0.482815803494
1,5075,training,7,4,40,Alpha,Alpha,1,0.392684351187
1,5075,training,7,5,42,Beta,Beta,1,1.8370404751
1,5075,training,7,6,36,Beta,Beta,1,1.27619558712
1,5075,training,7,7,48,Alpha,Alpha,1,0.505484402645
1,5075,training,8,0,36,Beta,Beta,1,1.76549097081
1,5075,training,8,1,36,Beta,Beta,1,0.809528081911
1,5075,training,8,2,0,Alpha,Alpha,1,0.492173321079
1,5075,training,8,3,8,Alpha,Alpha,1,0.339946553111
1,5075,training,8,4,42,Beta,Beta,1,0.724074560916
1,5075,training,8,5,40,Alpha,Alpha,1,0.783087672899
1,5075,training,8,6,48,Alpha,Alpha,1,0.405335291522
1,5075,training,8,7,42,Beta,Beta,1,0.881849957863
1,5075,training,9,0,36,Beta,Beta,1,2.0756878017
1,5075,training,9,1,36,Beta,Beta,1,0.472927259281
1,5075,training,9,2,0,Alpha,Alpha,1,0.324298823485
1,5075,training,9,3,42,Beta,Beta,1,0.502417427721
1,5075,training,9,4,48,Alpha,Alpha,1,0.371825677576
1,5075,training,9,5,40,Alpha,Alpha,1,0.607044507517
1,5075,training,9,6,42,Beta,Beta,1,0.483346167719
1,5075,training,9,7,8,Alpha,Alpha,1,0.354942086851
1,5075,training,10,0,42,Beta,Beta,1,0.449118476361
1,5075,training,10,1,42,Beta,Beta,1,1.0372711604
1,5075,training,10,2,48,Alpha,Alpha,1,0.435225715861
1,5075,training,10,3,36,Beta,Beta,1,2.96233288711
1,5075,training,10,4,36,Beta,Beta,1,0.420103053562
1,5075,training,10,5,40,Alpha,Alpha,1,0.602893960895
1,5075,training,10,6,8,Alpha,Alpha,1,1.11431334377
1,5075,training,10,7,0,Alpha,Alpha,1,0.386787443189
1,5075,training,11,0,8,Alpha,Alpha,1,1.59652263834
1,5075,training,11,1,36,Beta,Beta,1,0.493426728761
1,5075,training,11,2,0,Alpha,Alpha,1,0.374107038369
1,5075,training,11,3,36,Beta,Beta,1,0.372500716709
1,5075,training,11,4,40,Alpha,Alpha,1,0.412652794272
1,5075,training,11,5,48,Alpha,Alpha,1,0.337304332992
1,5075,training,11,6,42,Beta,Beta,1,0.972356836544
1,5075,training,11,7,42,Beta,Beta,1,0.71488687885
1,5075,training,12,0,42,Beta,Beta,1,0.477078468073
1,5075,training,12,1,0,Alpha,Alpha,1,0.382030718727
1,5075,training,12,2,48,Alpha,Alpha,1,0.698859418975
1,5075,training,12,3,42,Beta,Beta,1,0.488303847611
1,5075,training,12,4,8,Alpha,Alpha,1,0.610676608281
1,5075,training,12,5,36,Beta,Beta,1,1.01344847307
1,5075,training,12,6,40,Alpha,Alpha,1,0.312515932368
1,5075,training,12,7,36,Beta,Beta,1,1.94229293452
1,5075,generalization,0,8,Alpha,2.32536286232
1,5075,generalization,1,40,Alpha,0.857658796478
1,5075,generalization,2,48,Alpha,0.488466399955
1,5075,generalization,3,13,Beta,9.46938620112
1,5075,generalization,4,11,Beta,4.42505742284
1,5075,generalization,5,18,Beta,1.57137536467
1,5075,generalization,6,42,Beta,1.74065589043
1,5075,generalization,7,12,Beta,1.36225164402
1,5075,generalization,8,5,Beta,0.741891420446
1,5075,generalization,9,6,Beta,0.489723780192
1,5075,generalization,10,20,Beta,0.462926153559
1,5075,generalization,11,4,Beta,0.33177556796
1,5075,generalization,12,36,Beta,3.6052706677
1,5075,generalization,13,19,Beta,2.87440069159
1,5075,generalization,14,0,Alpha,0.892867429415
1,5075,similarity2,0,42,6,4,20.219
1,5075,similarity2,1,5,36,4,3.713
1,5075,similarity2,2,48,8,4,2.181
1,5075,similarity2,3,12,36,4,2.45
1,5075,similarity2,4,36,40,6,4.502
1,5075,similarity2,5,8,42,7,5.004
1,5075,similarity2,6,13,48,7,4.172
1,5075,similarity2,7,42,48,6,3.015
1,5075,similarity2,8,6,48,7,2.984
1,5075,similarity2,9,0,42,7,2.647
1,5075,similarity2,10,13,36,6,2.044
1,5075,similarity2,11,5,48,7,4.961
1,5075,similarity2,12,42,40,5,4.51
1,5075,similarity2,13,48,12,7,4.432
1,5075,similarity2,14,48,0,4,3.757
1,5075,similarity2,15,6,36,4,1.811
1,5075,similarity2,16,13,42,4,1.609
1,5075,similarity2,17,48,36,4,2.079
1,5075,similarity2,18,13,0,4,2.045
1,5075,similarity2,19,8,40,4,3.72
1,5075,similarity2,20,42,5,4,1.695
1,5075,similarity2,21,36,8,8,6.109
1,5075,similarity2,22,0,5,6,2.28
1,5075,similarity2,23,0,40,4,1.892
1,5075,similarity2,24,42,12,4,1.743
1,5075,similarity2,25,6,0,5,12.761
1,5075,similarity2,26,0,12,4,2.714
1,5075,similarity2,27,36,0,7,3.969
